code,signal_date,entry_date,ret10,atr14_pct,dd60_pct,ma25_slope5_pct,avg_turnover20,vol_ratio20,gc_gap_pct,gc_runner_score
2809,2020-04-10,2020-04-13,8.215158924205369,5.069458843043749,-15.390912812116254,0.3039151421250219,1532296580.0,0.3859797185921696,0.3247782002534949,3
2874,2026-08-20,2026-08-21,0.5535055350553542,4.05112366933894,-17.180952380952384,0.5546394843351843,490843395.0,0.5334257014201593,0.560897435897445,1
2875,2024-08-01,2024-08-02,-0.2597402597402598,3.1903365169269895,-15.531824006834682,0.34081297576993297,6270541155.0,2.65481472223958,0.6714598570306984,2
2884,2025-09-03,2025-09-04,3.0973451327433565,2.2914032869785084,-17.367458866544794,1.2590252707581184,122535600.0,0.673775875428951,0.38326128615358,0
2929,2022-11-11,2022-11-14,1.6030534351145098,3.4399649430324275,-17.31135066582118,0.7278907201949458,384482050.0,1.2804777458840608,0.07003469900996873,0
3002,2018-09-19,2018-09-20,-4.521739130434788,3.0964717493214904,-18.450704225352112,0.6799736784382615,441384950.0,0.9948042073248005,1.3798111837327598,0
3036,2022-02-07,2022-02-08,3.9230199851961522,2.7853977632411904,-18.088324258923173,0.4106345352636209,272003165.0,0.8681420684938199,0.2238805970149249,1
3038,2020-11-02,2020-11-04,7.575233483223798,3.3918595371109332,-19.550561797752806,0.8224801812004578,7279567295.0,0.8094849371355365,0.5742688252060368,0
3038,2024-06-05,2024-06-06,-2.136143548846481,1.7199514366653175,-15.469348659003835,0.44719802487538374,2311467160.0,1.821912986166763,0.5773779158744219,2
3040,2024-09-25,2024-09-26,19.926538108356297,2.9017857142857144,-18.318318318318315,0.7480731449297284,22716650.0,3.24184846352334,0.3900097502437472,1
3092,2021-01-06,2021-01-07,10.15625,2.835473515248796,-16.172176697748895,0.4710884672298299,2915496960.0,1.6019674376614887,0.8370853025345459,0
3101,2026-05-08,2026-05-11,7.8083989501312345,2.948669560294395,-17.984832069339106,1.1546437979933932,785838765.0,1.0697228403049968,0.7369645924530488,0
3106,2025-11-13,2025-11-14,8.789625360230557,2.73621643779463,-15.103532277710109,0.3193248560186879,359732900.0,0.6950716669939132,0.09662934121525968,2
3107,2020-10-23,2020-10-26,-0.44709388971684305,2.1439184886436,-15.664160401002503,0.6956309494752455,632968250.0,1.402975691533948,0.2908738334747252,1
3110,2024-09-18,2024-09-19,9.498207885304666,5.506493506493506,-17.910447761194025,1.5797101449275486,2321712100.0,0.970563882255529,0.4422884862320009,1
3132,2024-09-12,2024-09-13,5.4330708661417315,3.3150058642920652,-18.323153803442537,1.5687797006456838,1407020490.0,1.0874187473422028,0.19282840620808983,0
3153,2026-05-14,2026-05-15,-10.257234726688102,2.840749414519906,-16.093535075653364,0.6602681007973787,115131480.0,1.2287581699346406,0.3279685784942643,0
3154,2024-09-19,2024-09-20,6.4009661835748854,2.3119392684610074,-16.194331983805665,0.8454601352736235,12943300.0,1.2662829445622539,0.8841014176109052,1
3183,2025-05-26,2025-05-27,1.610429447852768,3.0066572083378804,-16.25079974408189,1.0231372061201727,30745955.0,0.6309549015456278,0.10774203478527422,1
3393,2019-02-06,2019-02-07,-4.597701149425292,3.62420830401126,-18.691588785046733,0.7665174331841218,18382005.0,0.3150373497888925,0.8078088185796028,2
3393,2023-02-13,2023-02-14,33.52769679300292,3.785576126001658,-16.207455429497564,1.3489831682764741,184018295.0,5.579982324348211,0.22921023001447605,1
3415,2018-03-30,2018-04-02,-17.12744436952124,3.1207598371777476,-19.89130434782609,0.3335899409802279,392832750.0,0.6908612328050913,0.19892014776925482,1
